Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-11-29 2:35	9999	10010	9990	10010	178.59	1785889.13	9999.68
2017-11-29 2:40	10010	10069.12	10010	10054.46	165.29	1659749.42	10041.45
2017-11-29 2:45	10054.47	10069.12	10050	10069.12	14.82	149082.52	10057.99
2017-11-29 2:50	10069.12	10100	10066.25	10100	77.08	777182.37	10083.34
2017-11-29 2:55	10100	10124.01	10080	10124.01	151.52	1530845.34	10103.16
2017-11-29 3:00	10124.01	10153.78	10124.01	10150	47.52	481963.82	10142.77
2017-11-29 3:05	10150	10170.06	10137.05	10170.06	53.3	541546.9	10160.53
2017-11-29 3:10	10170.06	10170.06	10164.96	10167.99	42.4	431140.65	10169.6
2017-11-29 3:15	10167.99	10168	10101.11	10141.44	37.08	375551.46	10127.21
2017-11-29 3:20	10141.44	10200	10117.65	10199.99	61.97	631208.2	10185.86
2017-11-29 3:25	10200	10200	10175.05	10189.12	24.64	251166.09	10194.02
2017-11-29 3:30	10189.12	10230	10180.43	10230	74.53	761121.46	10212.7
2017-11-29 3:35	10230	10323.37	10230	10300	162.71	1673921.23	10287.49
2017-11-29 3:40	10289.49	10311.2	10279.48	10280	48.59	500098.98	10292.13
2017-11-29 3:45	10280	10280	10250	10257.81	56.75	582516.3	10264.64
2017-11-29 3:50	10260.9	10262.99	10227.81	10237.89	38.47	394470.03	10253.98
2017-11-29 3:55	10255.81	10263.96	10224.22	10263.96	31.33	321324.77	10256.47
2017-11-29 4:00	10263.96	10263.96	10225.01	10262.35	26.3	269760.1	10255.75
2017-11-29 4:05	10262.5	10263	10170.06	10218.99	132.32	1352007.84	10217.55
2017-11-29 4:10	10214.28	10263.5	10183.24	10263.5	24.14	246714.62	10221.3
2017-11-29 4:15	10263.5	10319.85	10263.5	10305.53	90.17	927683.56	10287.88
2017-11-29 4:20	10287.82	10328.99	10287.82	10328.99	70.86	731404.22	10321.48
2017-11-29 4:25	10328.97	10374.99	10326.89	10374.99	67.59	699655.72	10352.01
2017-11-29 4:30	10374.97	10374.99	10329.96	10331.96	77.89	807044.12	10361.08
2017-11-29 4:35	10331.9	10370	10330.01	10341.12	34.92	361003.3	10338.4
2017-11-29 4:40	10364.53	10381.66	10340.04	10361.09	50.62	525033.31	10371.41
2017-11-29 4:45	10381.26	10391.67	10361	10391.67	49.17	510657.04	10385.88
2017-11-29 4:50	10391.67	10431	10391.67	10428.01	108.2	1127010.51	10415.86
2017-11-29 4:55	10430	10438	10400	10424.95	53.64	558944.79	10420.26
2017-11-29 5:00	10417.9	10450	10416.23	10450	44.41	463293.67	10431.83
2017-11-29 5:05	10450	10488	10446.02	10487.9	43.47	455268.35	10473.07
2017-11-29 5:10	10485.08	10492	10471.16	10476.21	111.64	1170805.89	10487.21
2017-11-29 5:15	10475.96	10582.93	10471.17	10582.58	224.75	2361836.96	10508.95
2017-11-29 5:20	10582.93	10637.2	10582.58	10637.2	97.69	1037039.63	10615.33
2017-11-29 5:25	10637.56	10690.16	10637.56	10690.16	85.15	909257.3	10678.2
2017-11-29 5:30	10690.16	10743.61	10678.9	10743.58	84	898568.32	10696.94
2017-11-29 5:35	10743.61	10743.61	10323.37	10353.48	617.22	6462739.8	10470.66
2017-11-29 5:40	10353.48	10497.83	10323.37	10390.02	267.23	2770075.79	10365.78
2017-11-29 5:45	10390.02	10478.39	10378.91	10438.99	167.08	1739443.18	10411.07
2017-11-29 5:50	10439.92	10489.62	10421.09	10437.98	101.98	1066683.62	10460.08
2017-11-29 5:55	10450.42	10455	10069.12	10083.99	346.22	3537265.76	10216.87
2017-11-29 6:00	10069.12	10334	10000	10270.36	499.39	5088639.05	10189.66
2017-11-29 6:05	10270.36	10299	10200	10266.19	120.83	1237239.44	10239.48
2017-11-29 6:10	10266.19	10422.42	10265	10401.02	112.33	1166391.55	10383.26
2017-11-29 6:15	10422.41	10422.42	10400	10422.42	69.54	724639.6	10420.03
2017-11-29 6:20	10422.42	10515.99	10422.41	10515.99	96.38	1009030.96	10469.63
2017-11-29 6:25	10511.49	10511.49	10323.37	10363.81	114.79	1191099.9	10376.47
2017-11-29 6:30	10379.99	10450	10355.32	10444	40.31	419809.56	10413.92
2017-11-29 6:35	10440.77	10444.01	10373.69	10384.8	38.22	398396.24	10423.35
2017-11-29 6:40	10395.36	10395.39	10272.02	10322.78	109.2	1128437.07	10333.88
2017-11-29 6:45	10322.7	10374.99	10305.22	10355.01	40.36	417576.32	10347.24
2017-11-29 6:50	10370.17	10374.99	10275	10280	60.27	622261.96	10325.16
2017-11-29 6:55	10280	10302.02	10272.01	10301.36	107.36	1104284.15	10285.82
2017-11-29 7:00	10300	10428.59	10289.86	10424	84	870813.06	10367.36
2017-11-29 7:05	10424	10430.01	10350	10367.99	123.21	1278247.83	10374.68
2017-11-29 7:10	10367.99	10376.28	10337.97	10337.97	42.74	442071.76	10342.4
2017-11-29 7:15	10338	10338	10330	10338	49.19	508503.45	10337.41
2017-11-29 7:20	10338	10350	10330.06	10340.99	150.69	1558389.16	10341.78
2017-11-29 7:25	10332.64	10345	10323.37	10344.93	124.79	1290239.05	10339.23
2017-11-29 7:30	10345	10348	10327.59	10345.99	46.21	478017.42	10344.48
2017-11-29 7:35	10342	10400	10342	10389.99	52.59	545543.97	10374.42
2017-11-29 7:40	10389.99	10435	10375.01	10433.05	45.3	471578.32	10409.75
2017-11-29 7:45	10433.05	10495.04	10425.68	10489	53.67	561328.43	10458.13
2017-11-29 7:50	10489	10520	10478.01	10520	69.68	731719.83	10501.46
2017-11-29 7:55	10520	10528	10439.99	10508.02	92.67	972692.85	10496.67
2017-11-29 8:00	10508.02	10559.16	10480.06	10559.16	71.82	755853.95	10523.83
2017-11-29 8:05	10559.17	10589.93	10555.01	10570	59.72	631228.4	10570.14
2017-11-29 8:10	10570	10572.97	10520	10547.4	77.82	821427.54	10555.44
2017-11-29 8:15	10547.37	10578.74	10536.79	10560	67.6	713378.79	10552.79
2017-11-29 8:20	10578.74	10599.19	10547.94	10591.85	64.41	680429.28	10564.41
2017-11-29 8:25	10591.84	10680	10563.17	10652.06	144.8	1540094.32	10636.17
2017-11-29 8:30	10650.01	10655	10615.16	10654.99	99.9	1063092.16	10642.04
2017-11-29 8:35	10654.99	10665	10630.69	10659.42	90.44	963717.21	10656.39
2017-11-29 8:40	10659.42	10659.42	10579.41	10590.05	159.07	1688380.74	10613.83
2017-11-29 8:45	10619.2	10633.76	10590.01	10620.01	126	1337035.22	10611.61
2017-11-29 8:50	10633.46	10650	10620	10635	79.89	849601.54	10635.22
2017-11-29 8:55	10649.83	10649.83	10606	10629.19	95.18	1010429.68	10616.18
2017-11-29 9:00	10627.96	10649.91	10608	10622.01	65.72	698695.8	10631.6
2017-11-29 9:05	10622.01	10641.9	10621.19	10641.9	77.82	827213.36	10629.96
2017-11-29 9:10	10641.88	10641.9	10595	10607.23	90.18	956564.62	10607.36
2017-11-29 9:15	10607.24	10607.24	10589.99	10599.98	94.13	997511.27	10596.93
2017-11-29 9:20	10599.98	10650	10599.98	10638.96	64.75	688454.94	10632.61
2017-11-29 9:25	10648	10654.39	10621.94	10652	86.87	924405.18	10641.68
2017-11-29 9:30	10649.99	10659.42	10601.95	10651.95	56.26	598859.13	10643.85
2017-11-29 9:35	10651.94	10698	10631	10688.96	42.26	451040.63	10673.07
2017-11-29 9:40	10696.4	10737.57	10688.84	10734.41	146.11	1567123.99	10725.68
2017-11-29 9:45	10734.41	10737.57	10701.66	10735	102.61	1101009.42	10729.86
2017-11-29 9:50	10734.99	10737.57	10709.07	10731.7	130.15	1396884.61	10732.92
2017-11-29 9:55	10731.68	10737.57	10702.73	10709.96	90.54	971112.57	10725.75
2017-11-29 10:00	10709.95	10731.73	10701.48	10720	81.44	872786.5	10716.54
2017-11-29 10:05	10724.91	10724.99	10640	10650	125.84	1344201.16	10681.67
2017-11-29 10:10	10650	10699.99	10620	10678.85	98.44	1047611.31	10642.44
2017-11-29 10:15	10667.78	10700	10660.01	10699.99	21.93	234454.69	10690.35
2017-11-29 10:20	10700	10718.53	10699.98	10708.89	33.01	353505.95	10708.85
2017-11-29 10:25	10702	10717	10673.99	10716.89	53.37	571398.65	10705.62
2017-11-29 10:30	10716.87	10743.6	10716.86	10743.6	66.42	712998.11	10734.12
2017-11-29 10:35	10738.45	10743.6	10725	10743.58	52.82	567164.33	10737.37
2017-11-29 10:40	10743.55	10750	10725	10750	35.48	381192.67	10742.64
2017-11-29 10:45	10749.98	10766	10748.78	10764.38	66.4	714202.29	10755.25
2017-11-29 10:50	10765	10800	10760	10800	89.62	966397.97	10782.94
2017-11-29 10:55	10790.01	10851.31	10790.01	10843	135.44	1466435.57	10827.46
2017-11-29 11:00	10843	10851.3	10773.01	10808	96.49	1042392.35	10803.11
2017-11-29 11:05	10808	10831.18	10801.46	10831.17	35.79	386911.26	10812.08
2017-11-29 11:10	10831.17	10832	10820	10831.99	86.97	941651.33	10827.38
2017-11-29 11:15	10831.99	10890.46	10830.35	10874.99	138.74	1507752.17	10867.48
2017-11-29 11:20	10860.04	10875	10853	10859.18	85.84	932494.77	10863.79
2017-11-29 11:25	10859.18	10872.92	10809.26	10809.27	89.84	973679.32	10838
2017-11-29 11:30	10824.98	10868.11	10808	10860.01	92.25	999134.47	10830.22
2017-11-29 11:35	10866.2	10867.44	10830.03	10831	38.81	421114.57	10849.44
2017-11-29 11:40	10833.99	10835	10756.02	10756.02	133.32	1440186.72	10802.42
